batch_index,line_id,event_id,event_template,query_text,normalized_results_file,requested_at_utc,num_results,status,error_message
11,11,,,"diff --git a/src/wallet/rpcwallet.cpp b/src/wallet/rpcwallet.cpp
@@ -3338,4 +3342,5 @@ static UniValue bumpfee(const JSONRPCRequest& request)
+            true, true);
^---- failure generated from test/lint/lint-whitespace.sh",,2026-04-10T21:39:41.089175+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
12,12,,,"1) AtomApplication command-line interface behavior atom:// URLs with a ""core"" host sends a URI message to the most recently focused non-spec window that owns the open locations:
     Error: timeout of 2000ms exceeded. Ensure the done() callback is being called in this test.",normalized_results/12.json,2026-04-10T21:39:47.674465+00:00,1,success,
13,13,,,"** (Mix) mix format failed due to --check-formatted.
The following files were not formatted:

  * lib/elixir/test/elixir/module/types/infer_test.exs",normalized_results/13.json,2026-04-10T21:39:53.874822+00:00,10,success,
14,14,,,"suite:send_recv failed on line 593
Reason: timetrap_timeout",normalized_results/14.json,2026-04-10T21:40:00.407571+00:00,9,success,
15,15,,,"src/github.com/getlantern/appdir/appdir_test.go:4: log redeclared as imported package name
	previous declaration at $WORK/github.com/getlantern/appdir/_test/_obj_test/appdir.go:16
FAIL	github.com/getlantern/appdir [build failed]",normalized_results/15.json,2026-04-10T21:40:06.863337+00:00,1,success,
16,16,,,"normalize.css[24m[22m
[1m429[22m[1m:1[22m	Unexpected missing newline at end of file (no-missing-eof-newline)",normalized_results/16.json,2026-04-10T21:40:13.041338+00:00,9,success,
17,17,,,"io.reactivex.internal.operators.observable.ObservableRefCountTest > publishNoLeak FAILED
    java.lang.AssertionError: 13,928,704 -> 113,907,376
        at org.junit.Assert.fail(Assert.java:88)
        at org.junit.Assert.assertTrue(Assert.java:41)
        at io.reactivex.internal.operators.observable.ObservableRefCountTest.publishNoLeak(ObservableRefCountTest.java:731)",normalized_results/17.json,2026-04-10T21:40:19.202657+00:00,7,success,
18,18,,,"1) Check challenges
       Check challenges (english)
         Add a Text Alternative to Images for Visually Impaired Accessibility
           Common checks:
     ValidationError: ""forumTopicId"" is not allowed",,2026-04-10T21:40:25.670175+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
19,19,,,"current-buffer: README.orgphoenix>2>
current-file: /tmp/docs/layers/+frameworks/phoenix/README.org
error: File ""/tmp/docs/layers/+frameworks/phoenix/README.org"" doesn't have ""Features:""(With a colon) list in the top level ""Description"" headline
See ""https://github.com/syl20bnr/spacemacs/blob/develop/core/templates/README.org.template""",normalized_results/19.json,2026-04-10T21:40:31.958473+00:00,1,success,
20,20,,,"/Users/travis/build/realm/realm-cocoa/RealmSwift/Object+Combine.swift:88:42: warning: Colon Violation: Colons should be next to the identifier when specifying a type and next to the key in dictionary literals. (colon)

/Users/travis/build/realm/realm-cocoa/RealmSwift/Object+Combine.swift:46:31: warning: Empty Parentheses with Trailing Closure Violation: When using trailing closures, empty parentheses should be avoided after the method call. (empty_parentheses_with_trailing_closure)",,2026-04-10T21:40:38.746667+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
21,21,,,"Line   src/Composer/Installer.php                                    
 ------ -------------------------------------------------------------- 
  1174   Method Composer\Installer::updatePackageUrl() invoked with 8  
         parameters, 7 required.",normalized_results/21.json,2026-04-10T21:40:47.256429+00:00,8,success,
22,22,,,"standard: Use JavaScript Standard Style (https://github.com/feross/standard) 
  /home/travis/build/jlord/git-it-electron/lib/build-challenges.js:178:40: A space is required after ','.",,2026-04-10T21:40:54.707158+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
23,23,,,"./thefuck/rules/terraform_init.py:8:9: E128 continuation line under-indented for visual indent
./thefuck/rules/terraform_init.py:9:5: E124 closing bracket does not match visual indentation",,2026-04-10T21:41:01.415578+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
24,24,,,"fusermount: bad mount point build/filesystem/: No such file or directory
rm -rf build
make: *** No rule to make target `travis'.  Stop.",normalized_results/24.json,2026-04-10T21:41:07.373783+00:00,2,success,
25,25,,,"[info] - Single client and rejecting server results in both sides TLS connections at 0 *** FAILED ***
[info]   Expected exception com.twitter.finagle.SslException to be thrown, but com.twitter.finagle.Failure was thrown (ThriftSmuxSslTest.scala:151)",normalized_results/25.json,2026-04-10T21:41:13.232992+00:00,10,success,
26,26,,,"[0K$ ./check_integrity.sh $(find bin | cut -b 5- | xargs)
Skip command rscp
Run 'make docs' to create man/git-rename-remote.1 and man/git-rename-remote.html",,2026-04-10T21:41:21.263794+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
27,27,,,"xcodebuild: error: Unable to find a destination matching the provided destination specifier:

		{ platform:tvOS Simulator, name:Apple TV 1080p }",normalized_results/27.json,2026-04-10T21:41:27.487763+00:00,10,success,
28,28,,,"rake aborted!
No Rakefile found (looking for: rakefile, Rakefile, rakefile.rb, Rakefile.rb)",normalized_results/28.json,2026-04-10T21:41:34.236820+00:00,10,success,
29,29,,,"Error: Process exited with code: 2
    at ChildProcess.anonymous> (/home/travis/build/microsoft/TypeScript/scripts/build/utils.js:52:24)
    at ChildProcess.emit (events.js:203:13)
    at ChildProcess.EventEmitter.emit (domain.js:494:23)
    at Process.ChildProcess._handle.onexit (internal/child_process.js:272:12)",,2026-04-10T21:41:40.054613+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
30,30,,,"/home/travis/build/purescript/purescript/sdist-test/[;1msrc/Language/PureScript/TypeChecker/Types.hs:40:1: [;1m[31merror:[0m[0m[;1m [[;1m[31m-Wunused-imports, -Werror=unused-imports[0m[0m[;1m][0m[0m[;1m[0m
[0m    The import of ‘!!’ from module ‘Data.List’ is redundant[0m[0m[0m
[0m[;1m[34m   |[0m[0m[0m
[0m[;1m[34m40 |[0m[0m [;1m[31mimport Data.List (transpose, (\\), partition, delete, (!!))[0m[0m[0m
[0m[;1m[34m   |[0m[0m[;1m[31m ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",,2026-04-10T21:41:48.292955+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
